"Date","Open","High","Low","Close","Volume","OpenInt"
06/30/1999,1401.00,1430.50,1401.00,1430.50,14,489
07/01/1999,1422.00,1441.20,1422.00,1441.20,21,489
07/02/1999,1450.00,1455.00,1450.00,1455.00,1,0
07/06/1999,1453.30,1453.30,1453.30,1453.30,0,491
07/07/1999,1454.30,1454.30,1454.30,1454.30,0,491
07/08/1999,1454.50,1454.50,1454.50,1454.50,0,481
07/09/1999,1456.00,1464.30,1456.00,1464.30,2,481
07/12/1999,1459.50,1459.50,1458.50,1458.60,2,481
07/13/1999,1451.00,1454.20,1451.00,1453.20,4,483
07/14/1999,1458.40,1458.40,1458.40,1458.40,396,835
07/15/1999,1468.90,1468.90,1468.90,1468.90,60,885
07/16/1999,1477.50,1477.50,1477.50,1477.50,10,886
07/19/1999,1467.30,1467.30,1467.30,1467.30,1,885
07/20/1999,1434.80,1435.20,1434.80,1435.20,227,930
07/21/1999,1429.80,1433.20,1429.80,1433.20,4,930
07/22/1999,1420.00,1421.00,1415.30,1415.30,8,930
07/23/1999,1410.80,1410.80,1410.80,1410.80,1,930
07/26/1999,1402.50,1402.50,1402.50,1402.50,1,930
07/27/1999,1411.50,1411.50,1411.50,1411.50,1,930
07/28/1999,1415.70,1415.70,1415.70,1415.70,1,930
07/29/1999,1396.60,1396.60,1396.60,1396.60,1,930
07/30/1999,1379.10,1379.10,1379.10,1379.10,29,937
08/02/1999,1383.70,1383.70,1383.70,1383.70,1,931
08/03/1999,1369.90,1376.30,1369.90,1376.30,2,930
08/04/1999,1355.80,1355.80,1355.80,1355.80,1,930
08/05/1999,1367.80,1367.80,1367.80,1367.80,1,930
08/06/1999,1353.40,1353.40,1353.40,1353.40,35,962
08/09/1999,1357.50,1357.50,1350.40,1350.40,1,963
08/10/1999,1334.20,1337.50,1334.20,1337.50,1,963
08/11/1999,1351.50,1351.50,1351.50,1351.50,5,961
08/12/1999,1364.00,1364.00,1352.10,1352.10,320,1164
08/13/1999,1380.90,1380.90,1380.90,1380.90,6,1163
08/16/1999,1387.70,1387.70,1387.70,1387.70,15,1178
08/17/1999,1392.00,1395.40,1392.00,1395.40,66,1180
08/18/1999,1382.70,1382.70,1382.70,1382.70,0,1180
08/19/1999,1369.80,1374.40,1369.80,1374.40,177,1174
08/20/1999,1388.20,1388.20,1388.20,1388.20,0,1174
08/23/1999,1395.00,1415.20,1395.00,1415.20,3,1176
08/24/1999,1419.50,1419.50,1419.50,1419.50,257,1433
08/25/1999,1432.50,1432.50,1432.50,1432.50,0,1433
08/26/1999,1416.80,1416.80,1416.80,1416.80,40,1473
08/27/1999,1400.50,1400.50,1400.50,1400.50,0,1473
08/30/1999,1399.80,1399.80,1374.50,1374.50,22,1471
08/31/1999,1367.90,1367.90,1367.90,1367.90,34,1493
09/01/1999,1374.80,1382.80,1374.80,1382.80,22,1469
09/02/1999,1368.50,1368.50,1368.50,1368.50,99,1470
09/03/1999,1395.20,1411.70,1395.20,1411.70,2,1471
09/07/1999,1402.00,1402.00,1402.00,1402.00,0,1471
09/08/1999,1394.90,1394.90,1394.90,1394.90,30,1481
09/09/1999,1394.00,1394.00,1394.00,1394.00,340,1609
09/10/1999,1403.10,1403.10,1403.10,1403.10,1,1610
09/13/1999,1395.90,1395.90,1395.90,1395.90,5,1610
09/14/1999,1386.10,1386.10,1386.10,1386.10,250,1710
09/15/1999,1374.90,1374.90,1365.00,1365.00,202,1810
09/16/1999,1366.60,1366.60,1366.60,1366.60,52,1858
09/17/1999,1384.70,1384.70,1384.70,1384.70,0,1858
09/20/1999,1382.00,1382.00,1382.00,1382.00,0,1858
09/21/1999,1354.50,1354.50,1354.50,1354.50,90,1904
09/22/1999,1343.80,1354.20,1343.80,1354.20,126,1934
09/23/1999,1322.90,1322.90,1322.90,1322.90,337,2131
09/24/1999,1319.60,1319.60,1319.60,1319.60,54,2128
09/27/1999,1327.60,1327.60,1327.60,1327.60,100,2143
09/28/1999,1315.30,1325.70,1315.30,1325.70,27,2146
09/29/1999,1310.90,1310.90,1310.90,1310.90,11,2146
09/30/1999,1334.00,1334.00,1329.40,1329.40,2,2146
10/01/1999,1313.80,1325.10,1313.80,1325.10,32,2156
10/04/1999,1334.10,1351.20,1334.10,1351.20,166,2270
10/05/1999,1348.20,1348.20,1348.20,1348.20,102,2308
10/06/1999,1364.10,1368.10,1364.10,1368.10,3,2308
10/07/1999,1362.80,1362.80,1362.80,1362.80,255,2485
10/08/1999,1380.30,1380.30,1380.30,1380.30,0,2485
10/11/1999,1381.00,1381.00,1381.00,1381.00,0,2484
10/12/1999,1359.50,1359.50,1359.50,1359.50,0,2484
10/13/1999,1343.90,1343.90,1322.00,1322.00,40,2484
10/14/1999,1313.90,1322.30,1313.90,1322.30,15,2491
